Player
Bernd Leno
Kenny Tete
Calvin Bassey
Joachim Andersen
Harrison Reed
Raul Jimenez
Harry Wilson
Rodrigo Muniz
Tom Cairney
Oscar Bobb
Jorge Cuenca
Sander Berge
Alex Iwobi
Jonah Kusi-Asare
Samuel Chukwueze
Sasa Lukic
Timothy Castagne
Kevin
Benjamin Lecomte
Josh King
Ryan Sessegnon
Issa Diop
Emile Smith Rowe
Antonee Robinson
Alisson Becker
Joe Gomez
Wataru Endo
Virgil van Dijk
Ibrahima Konate
Milos Kerkez
Florian Wirtz
Dominik Szoboszlai
Alexander Isak
Alexis Mac Allister
Mohamed Salah
Conor Bradley
Federico Chiesa
Giovanni Leoni
Curtis Jones
Cody Gakpo
Hugo Ekitike
Giorgi Mamardashvili
Andy Robertson
Freddie Woodman
Jeremie Frimpong
Ryan Gravenberch
Armin Pecsi
Trey Nyoni
Stefan Bajcetic
Rhys Williams
Calvin Ramsay
James McConnell
Rio Ngumoha
Harvey Davies
